iter	Passed	Remaining
468	714	808
469	715	806
470	716	804
471	717	802
472	718	800
473	719	798
474	720	796
475	721	794
476	722	792
477	723	790
478	725	788
479	726	786
480	727	784
481	728	782
482	729	781
483	731	779
484	732	777
485	733	775
486	734	773
487	735	771
488	736	769
489	737	767
490	738	765
491	740	764
492	741	762
493	742	760
494	743	758
495	744	756
496	746	755
497	747	753
498	748	751
499	749	749
500	750	747
501	751	745
502	752	744
503	754	742
504	755	740
505	756	738
506	757	736
507	758	734
508	759	732
509	760	731
510	762	729
511	763	727
512	764	725
513	765	723
514	766	722
515	767	720
516	768	718
517	769	716
518	771	714
519	772	712
520	773	711
521	774	709
522	775	707
523	777	705
524	778	704
525	779	702
526	780	700
527	781	698
528	782	696
529	783	695
530	785	693
531	786	691
532	787	690
533	789	688
534	790	687
535	791	685
536	792	683
537	794	681
538	795	680
539	796	678
540	797	676
541	799	675
542	800	673
543	801	671
544	802	670
545	803	668
546	805	666
547	806	665
548	807	663
549	808	661
550	809	659
551	810	658
552	812	656
553	813	654
554	814	652
555	815	651
556	816	649
557	817	647
558	819	646
559	820	644
560	821	643
561	823	641
562	824	639
563	825	638
564	826	636
565	828	635
566	829	633
567	830	631
568	831	630
569	833	628
570	834	626
571	835	625
572	837	623
573	838	622
574	839	620
575	840	618
576	841	617
577	842	615
578	843	613
579	845	611
580	846	610
581	847	608
582	849	607
583	851	606
584	852	604
585	853	603
586	855	601
587	856	600
588	857	598
589	858	596
590	859	595
591	861	593
592	862	591
593	863	590
594	864	588
595	866	587
596	867	585
597	868	584
598	870	582
599	871	581
600	873	579
601	874	577
602	875	576
603	876	574
604	877	573
605	878	571
606	880	569
607	881	568
608	882	566
609	884	565
610	885	563
611	886	562
612	887	560
613	889	558
614	890	557
615	891	555
616	892	554
617	893	552
618	895	551
619	896	549
620	898	548
621	899	546
622	900	544
623	901	543
624	902	541
625	904	540
626	905	538
627	906	536
628	907	535
629	908	533
630	909	532
631	911	530
632	912	529
633	913	527
634	914	525
635	916	524
636	920	524
637	924	524
638	926	523
639	928	522
640	929	520
641	931	519
642	933	518
643	935	516
644	936	515
645	938	514
646	939	512
647	941	511
648	943	510
649	944	508
650	946	507
651	947	505
652	948	504
653	949	502
654	951	501
655	952	499
656	954	498
657	955	496
658	957	495
659	959	494
660	961	493
661	962	491
662	964	490
663	966	488
664	967	487
665	969	486
666	971	484
667	972	483
668	975	482
669	976	481
670	977	479
671	978	477
672	980	476
673	981	474
674	982	473
675	983	471
676	984	469
677	986	468
678	987	466
679	989	465
680	990	463
681	991	462
682	992	460
683	993	459
684	995	457
685	996	456
686	997	454
687	998	452
688	1001	452
689	1005	451
690	1006	450
691	1008	448
692	1009	447
693	1011	445
694	1012	444
695	1013	442
696	1014	441
697	1017	440
698	1018	438
699	1019	437
700	1020	435
701	1022	433
702	1023	432
703	1024	430
704	1025	429
705	1026	427
706	1027	425
707	1029	424
708	1030	422
709	1031	421
710	1033	419
711	1034	418
712	1035	416
713	1036	415
714	1038	413
715	1039	412
716	1040	410
717	1042	409
718	1043	407
719	1044	406
720	1046	404
721	1048	403
722	1050	402
723	1052	401
724	1053	399
725	1055	398
726	1056	396
727	1057	395
728	1059	393
729	1060	392
730	1072	394
731	1074	393
732	1075	391
733	1076	390
734	1078	388
735	1080	387
736	1081	385
737	1082	384
738	1084	382
739	1085	381
740	1086	379
741	1088	378
742	1089	376
743	1090	375
744	1092	373
745	1093	372
746	1095	370
747	1096	369
748	1097	367
749	1099	366
750	1100	364
751	1102	363
752	1103	361
753	1104	360
754	1105	358
755	1106	357
756	1108	355
757	1109	354
758	1111	352
759	1112	351
760	1113	349
761	1114	348
762	1116	346
763	1117	345
764	1118	343
765	1119	342
766	1120	340
767	1122	339
768	1124	337
769	1125	336
770	1126	334
771	1127	333
772	1128	331
773	1130	329
774	1131	328
775	1132	326
776	1133	325
777	1134	323
778	1135	322
779	1137	320
780	1138	319
781	1139	317
782	1141	316
783	1142	314
784	1143	313
785	1144	311
786	1145	310
787	1146	308
788	1148	307
789	1149	305
790	1150	303
791	1151	302
792	1152	300
793	1154	299
794	1155	297
795	1156	296
